Year,Station_ID,Distance_m,N_channels,Total_wet_width_m,H_bits,eBI,Total_Water_Area_km2
2010,2,2000,10,3201.2646516324294,2.4405504354438277,5.428488060855042,123.67051386549117
2010,3,4000,8,2784.326196282389,1.8911955585870601,3.7094249674955373,123.67051386549117
2010,4,6000,12,2728.506809531643,2.418339911860936,5.345555625939692,123.67051386549117
2010,5,8000,7,2936.5870270036107,1.3167645762809594,2.4910682972569704,123.67051386549117
2010,6,10000,9,2864.9359161044445,1.9035020877667619,3.7412025804832707,123.67051386549117
2010,7,12000,7,2229.644182389075,1.8503231261916122,3.6058093675871175,123.67051386549117
2010,8,14000,7,2558.3581640925236,2.2418159341239727,4.729920496787407,123.67051386549117
2010,9,16000,6,2744.591579995636,1.4798611294466189,2.789218835897873,123.67051386549117
2010,10,18000,4,2270.811721794351,1.7439527808041406,3.349516319064617,123.67051386549117
2010,11,20000,10,2719.5610219211785,2.140718412389886,4.409815853102459,123.67051386549117
2010,12,22000,4,2302.017786627988,1.2021100728131242,2.3007593202565815,123.67051386549117
2010,13,24000,4,2389.385624531847,0.8893400391514051,1.8523285822288909,123.67051386549117
2010,14,26000,3,2629.5466357924465,1.0796718790415598,2.113555327637221,123.67051386549117
2010,15,28000,7,2881.869263534693,1.4781169067579578,2.7858486995121496,123.67051386549117
2010,16,30000,3,2034.6992919985976,1.0960269108689777,2.1376518560826785,123.67051386549117
2010,17,32000,6,1796.8424396692128,2.038120464991861,4.107101111379926,123.67051386549117
2010,18,34000,2,1134.6951258293293,0.8113054993635287,1.7547986473071269,123.67051386549117
2010,19,36000,2,1179.435195591051,0.3504534043194526,1.2749612539906126,123.67051386549117
2010,20,38000,3,721.131013130253,0.9729053733228654,1.962789383708211,123.67051386549117
2010,21,40000,5,584.5984082760698,1.9752603471606516,3.931991893094683,123.67051386549117
2010,22,42000,1,346.5608115204489,-0.0,1.0,123.67051386549117
2020,1,0,11,1834.0123644274963,1.4099435203515693,2.6572675975606095,145.30818916386716
2020,2,2000,9,2369.2800352274994,1.5012992811962915,2.830975534060506,145.30818916386716
2020,3,4000,5,2655.5814219518074,1.721411553876029,3.297588900291892,145.30818916386716
2020,4,6000,12,2715.3262609702388,2.4732781705811746,5.553041472287409,145.30818916386716
2020,5,8000,9,2967.2952487896227,2.342881280592482,5.0731481106535385,145.30818916386716
2020,6,10000,19,2780.4690633277564,3.159729680460932,8.936622481780711,145.30818916386716
2020,7,12000,6,3403.7436487571335,1.2014402501840276,2.2996913586201773,145.30818916386716
2020,8,14000,6,2007.2218742045259,1.7221001577917854,3.299163227898129,145.30818916386716
2020,9,16000,8,3260.2691396481328,0.9469495865986515,1.9277922497111786,145.30818916386716
2020,10,18000,8,2057.3546703635607,1.9422016391451609,3.8429165258341134,145.30818916386716
2020,11,20000,8,2943.173121969436,1.7596248358759388,3.3861005999597826,145.30818916386716
2020,12,22000,3,2649.4647599590435,1.3002878756226308,2.4627802012589664,145.30818916386716
2020,13,24000,3,1842.3232454490505,1.2081749684336633,2.3104517611098894,145.30818916386716
2020,14,26000,6,2563.95962712778,2.1983360782715584,4.589497103568058,145.30818916386716
2020,15,28000,4,2496.907284179446,1.1695571696429607,2.249426409581923,145.30818916386716
2020,16,30000,3,2238.3187087888846,1.2489134133485633,2.3766235673196445,145.30818916386716
2020,17,32000,7,2067.460817574049,2.382292165740825,5.213644325784281,145.30818916386716
2020,18,34000,4,1291.0299189171196,1.7678674288300722,3.405501880511109,145.30818916386716
2020,19,36000,4,901.2216686157174,1.7004025031449825,3.249916165804985,145.30818916386716
2020,20,38000,3,819.404742858293,1.2957294615350514,2.4550109537065947,145.30818916386716
2020,21,40000,4,598.6933334264689,1.847438693088391,3.5986073427179153,145.30818916386716
2020,22,42000,1,351.4674162371182,-0.0,1.0,145.30818916386716
2024,1,0,5,1436.968972573371,0.9277086817322224,1.9022523988323123,55.26083453056701
2024,2,2000,6,1085.4180625235738,2.2007599275443614,4.59721432652593,55.26083453056701
2024,3,4000,8,1470.6611442133644,2.7032345107743576,6.5126040214511125,55.26083453056701
2024,4,6000,9,1894.1156014330718,2.576800560880953,5.96615128504566,55.26083453056701
2024,5,8000,6,1266.5448714475872,2.24011204863197,4.724337552783556,55.26083453056701
2024,6,10000,3,851.7490977531571,1.501224670555601,2.8308291306760642,55.26083453056701
2024,7,12000,3,353.15858455908426,1.5108047890007525,2.849689610839793,55.26083453056701
2024,8,14000,3,533.7024334854121,0.8190440138235692,1.764236553003915,55.26083453056701
2024,9,16000,5,888.531762040113,1.7705222277448047,3.411774340002405,55.26083453056701
2024,10,18000,4,1278.8895102055285,1.6298088352317412,3.094719893065383,55.26083453056701
2024,11,20000,8,1405.5235386052445,2.3675193829155248,5.160530504657485,55.26083453056701
2024,12,22000,5,1231.4906958658364,1.9747765999573104,3.930673685732376,55.26083453056701
